Pop_Name,yr,rec4,rec5,R,S
Late Shuswap,1972,38342,2065,40407,2155
Late Shuswap,1973,64051,0,64051,2467
Late Shuswap,1974,6888446,9750,6898196,619143
Late Shuswap,1975,1022005,1078,1023083,85540
Late Shuswap,1976,13049,0,13049,3072
Late Shuswap,1977,93025,0,93025,6027
Late Shuswap,1978,9358872,115757,9474629,1014791
Late Shuswap,1979,1475536,15681,1491217,162068
Late Shuswap,1980,21350,444,21794,1817
Late Shuswap,1981,9466,0,9466,5950
Late Shuswap,1982,9206624,105481,9312105,1568612
Late Shuswap,1983,1947570,16259,1963829,100257
Late Shuswap,1984,32672,399,33071,2403
Late Shuswap,1985,4319,0,4319,813
Late Shuswap,1986,10620066,194400,10814466,1068368
Late Shuswap,1987,3840210,55204,3895414,310451
Late Shuswap,1988,6611,1608,8219,3556
Late Shuswap,1989,12858,0,12858,382
Late Shuswap,1990,7602634,125559,7728193,1744387
Late Shuswap,1991,845854,19352,865206,615852
Late Shuswap,1992,11466,8443,19909,6640
Late Shuswap,1993,15343,0,15343,753
Late Shuswap,1994,2589723,17569,2607292,664678
Late Shuswap,1995,750905,20211,771116,210742
Late Shuswap,1996,31740,29362,61102,5493
Late Shuswap,1997,33707,722,34429,597
Late Shuswap,1998,7141837,20407,7162244,680552
Late Shuswap,1999,677510,21292,698802,138275
Late Shuswap,2000,1388,0,1388,164
Late Shuswap,2001,6455,1243,7698,2138
Late Shuswap,2002,7387191,53848,7441039,2844548
Late Shuswap,2003,120226,12198,132424,189695
Late Shuswap,2004,0,1935,1935,2234
Late Shuswap,2005,32714,0,32714,11793
Late Shuswap,2006,17333012,163973,17496985,1170692
Late Shuswap,2007,214296,94,214390,32296
Late Shuswap,2008,0,9300,9300,83
Late Shuswap,2009,384008,0,384008,20208
Late Shuswap,2010,8155534,10631,8166165,3073220
Late Shuswap,2011,19139,805,19944,46028
Late Shuswap,2012,NA,1,1,6
Late Shuswap,2013,27943,0,27943,87946
Late Shuswap,2014,4289386,12115,4301501,1053404
Late Shuswap,2015,1626,63,1689,3178
Late Shuswap,2016,200,0,200,25
Late Shuswap,2017,46096,11594,57690,8445
Late Shuswap,2018,1470164,NA,NA,801099
Late Shuswap,2019,NA,NA,NA,3424
Late Shuswap,2020,NA,NA,NA,12
Birkenhead,1948,179637,12353,191990,54755
Birkenhead,1949,228462,8696,237158,43328
Birkenhead,1950,183919,30830,214749,41370
Birkenhead,1951,107397,66404,173801,13589
Birkenhead,1952,180787,33154,213941,24744
Birkenhead,1953,102206,16671,118877,16287
Birkenhead,1954,128222,17949,146171,8635
Birkenhead,1955,221160,7193,228353,8185
Birkenhead,1956,209127,42071,251198,27156
Birkenhead,1957,37495,5340,42835,7068
Birkenhead,1958,74626,11443,86069,5510
Birkenhead,1959,188393,36763,225156,11388
Birkenhead,1960,119526,10607,130133,19198
Birkenhead,1961,67104,17364,84468,10550
